bike_age,kms_clipped,power_bhp_clipped,mileage_kmpl_clipped,cc,owner_first,owner_fourth_or_more,owner_second,owner_third,brand_Bajaj,brand_Benelli,brand_Harley-Davidson,brand_Hero,brand_Honda,brand_Hyosung,brand_Jawa,brand_Kawasaki,brand_Ktm,brand_Other,brand_Royal,brand_Suzuki,brand_Triumph,brand_Tvs,brand_Um,brand_Yamaha,price
16,33000.0,17.0,40.0,223.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,18000
6,27300.0,19.8,,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,130000
4,5700.0,24.6,35.0,200.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,207500
6,15000.0,24.5,32.0,410.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,181562
12,21000.0,27.2,25.0,500.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,110000
5,9000.0,19.1,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,207500
10,35000.0,14.0,63.0,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,54468
7,65.0,10.0,65.0,125.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,70000
8,20864.0,21.0,38.0,220.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,55000
17,65.0,14.85,65.0,150.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30087
6,44228.0,8.0,55.0,110.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,57000
8,28.0,34.5,28.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,150000
5,7000.0,29.63,31.85,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,197125
6,9000.0,19.8,,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,166000
6,21500.0,16.1,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,93000
7,40.0,20.23,40.0,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,88000
6,7714.0,19.8,40.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,135000
13,60000.0,13.0,45.0,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,32000
5,5389.0,19.8,35.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,165000
6,9500.0,26.1,,250.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,120000
6,12573.0,18.7,,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,128000
8,34000.0,9.387,45.0,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,45000
6,28240.0,9.3,,110.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,50000
7,30000.0,8.2,5.0,100.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,42000
15,38000.0,21.0,38.0,220.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30000
8,9563.0,14.3,45.0,,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,39000
6,23000.0,26.1,,250.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,70000
14,67000.0,8.2,5.0,100.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,26000
14,56194.0,8.2,5.0,100.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,20000
11,65.0,14.85,65.0,150.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40000
11,27000.0,13.0,45.0,150.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,48500
12,37788.0,11.9,50.0,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,43000
8,45.0,17.2,45.0,180.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,80000
7,35.0,24.5,35.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,110000
10,35.0,24.16,35.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,76300
6,5700.0,18.7,,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,117500
6,19000.0,18.7,,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,125000
11,23000.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,114500
7,35.0,24.5,35.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100000
8,35.0,24.5,35.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,115000
9,28000.0,25.1,35.0,200.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,90000
5,5000.0,10.72,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,81000
6,25000.0,33.0,22.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,95000
6,9000.0,21.0,38.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,114125
9,39500.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,95000
8,58.0,13.0,58.0,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,72000
10,1600.0,29.1,26.0,535.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,165000
17,42821.0,16.0,42.0,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,42000
5,37.0,19.8,37.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,150000
7,65.0,15.0,65.0,150.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58000
6,104.0,8.2,95.0,100.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,57000
